"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*06f8y*","Alex Scott","BOU","M","90","CUM","@LEE Sat 3:00PM","46.91","9.38","27%","+21%"
"*05a6e*","Neco Williams","NOT","D","91","EDL4EFL","SUN Sat 5:30PM","46.55","9.31","74%","-6.6%"
"*06zna*","Dan Ndoye","NOT","F","92","CTM","SUN Sat 5:30PM","46.25","9.25","81%","+4.2%"
"*06rlj*","Patrick Dorgu","MUN","D","93","ojag7","@BRF Sat 12:30PM","45.95","11.49","78%","+4.9%"
"*06cms*","Sandro Tonali","NEW","M","94","BukAke","ARS Sun 4:30PM","45.8","9.16","89%","+1.3%"
"*03dx3*","Kieran Trippier","NEW","D","95","FA","ARS Sun 4:30PM","45.25","11.31","80%","+3.7%"
"*06do9*","Milos Kerkez","LIV","D","96","BMB","@CRY Sat 3:00PM","45.12","9.02","99%","-1%"
"*04agz*","Declan Rice","ARS","M","97","Ekitiki","@NEW Sun 4:30PM","45.11","9.02","100%","-0.2%"
"*04yme*","Robert Sanchez","CHE","G","98","feeneya","BHA Sat 3:00PM","45.03","9.01","90%","-3.9%"
"*05o8o*","Jayden Bogle","LEE","D","99","FA","BOU Sat 3:00PM","44.83","8.97","23%","+1.2%"
"*0558w*","William Saliba","ARS","D","100","ojag7","@NEW Sun 4:30PM","44.73","11.18","98%","+0.6%"
"*06fup*","Jeremy Doku","MCI","M","101","BukAke","BUR Sat 3:00PM","44.7","8.94","97%","+7.6%"
"*0703c*","Nordi Mukiele","SUN","D","102","Dank95","@NOT Sat 5:30PM","44.5","14.83","26%","+16.4%"
"*068yc*","Yasin Ayari","BHA","M","103","FA","@CHE Sat 3:00PM","44.4","8.88","6%","+1.5%"
"*06yb7*","Gabriel Gudmundsson","LEE","D","104","Rozza08","BOU Sat 3:00PM","44.13","8.83","41%","-6.5%"
"*068yt*","Sasa Lukic","FUL","M","105","Dank95","@AVL Sun 2:00PM","43.25","8.65","34%","+12.8%"
"*04rh9*","David Brooks","BOU","M","106","FPLL","@LEE Sat 3:00PM","42.58","8.52","64%","-5.9%"
"*062dt*","Joao Palhinha","TOT","M","107","FPLL","WOL Sat 8:00PM","42.37","8.47","53%","-0.2%"
"*03yeg*","Tosin Adarabioyo","CHE","D","108","W <small>(Fri)</small>","BHA Sat 3:00PM","42.29","10.57","44%","-13.4%"
"*05220*","Sepp van den Berg","BRF","D","109","Dank95","MUN Sat 12:30PM","42","8.4","31%","-4%"
"*04qr9*","Morgan Gibbs-White","NOT","M","110","BukAke","SUN Sat 5:30PM","41.97","8.39","99%","-0.4%"
"*051k7*","Reece James","CHE","D","111","Fsail93","BHA Sat 3:00PM","41.74","8.35","91%","+1.5%"
"*05mzz*","Pascal Struijk","LEE","D","112","FA","BOU Sat 3:00PM","41.65","8.33","9%","0%"
"*05r34*","Amad Diallo","MUN","M","113","W <small>(Fri)</small>","@BRF Sat 12:30PM","41.62","8.32","97%","-0.7%"
"*066r9*","Ehor Yarmolyuk","BRF","M","114","FA","MUN Sat 12:30PM","41.21","8.24","6%","+0.4%"
"*056iy*","Pedro Neto","CHE","F","115","BMB","BHA Sat 3:00PM","40.57","8.11","100%","0%"
"*06rgg*","Michael Kayode","BRF","D","116","BMB","MUN Sat 12:30PM","40.57","8.11","55%","-0.8%"
"*04e1c*","Lewis Dunk","BHA","D","117","feeneya","@CHE Sat 3:00PM","40.4","8.08","13%","-1.6%"
"*04f6h*","Matz Sels","NOT","G","118","ojag7","SUN Sat 5:30PM","40.25","8.05","66%","-7.7%"
"*062ts*","Djed Spence","TOT","D","119","Dank95","WOL Sat 8:00PM","40.22","8.04","62%","-10.8%"
"*05oz3*","James Trafford","MCI","G","120","FA","BUR Sat 3:00PM","39.9","13.3","31%","-7.5%"
"*05raa*","Hugo Bueno","WOL","D","121","FA","@TOT Sat 8:00PM","39.89","7.98","8%","+3.5%"
"*06yb9*","Reinildo Isnard Mandava","SUN","D","122","FA","@NOT Sat 5:30PM","39.84","7.97","21%","+9.4%"
"*06mnc*","Daichi Kamada","CRY","M","123","joester1","LIV Sat 3:00PM","39.65","13.22","43%","+13.2%"
"*061vn*","Rodrigo Muniz","FUL","F","124","EDL4EFL","@AVL Sun 2:00PM","39.38","7.88","52%","-1.7%"
"*04qfm*","Ryan Sessegnon","FUL","M","125","FA","@AVL Sun 2:00PM","39.34","9.84","28%","+6.6%"
"*02oq8*","James Ward-Prowse","WHU","M","126","FA","@EVE Mon 8:00PM","39.29","7.86","62%","+1.4%"
"*051k0*","John McGinn","AVL","M","127","FA","FUL Sun 2:00PM","39.18","7.84","41%","+0.4%"
