"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","G/G","A","Pts","S","SOT","FC","FS","YC","RC","DPt","Off","PKG","CS"
"*061ya*","Brennan Johnson","TOT","F","F","251","feeneya","@NOT Sun 2:00PM","6.42","6.42","48%","-3%","1","1","76","0","0.0","0","0","0","0","1","0","0","0","1","1","0","0"
"*03yqz*","Joe Rodon","LEE","D","D","59","ojag7","@BRF Sun 4:30PM","6.3","6.3","47%","-2%","1","1","90","0","0.0","0","0","0","0","0","1","0","0","0","0","0","0"
"*06rm8*","Mathys Tel","TOT","F","F","302","FA","@NOT Sun 2:00PM","6.24","6.24","24%","-1%","1","0","12","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0"
"*068lx*","Dango Ouattara","BRF","M","M","72","Dank95","LEE Sun 4:30PM","6.05","6.05","94%","+1%","1","1","90","0","0.0","0","0","1","0","0","1","0","0","0","0","0","0"
"*04qfm*","Ryan Sessegnon","FUL","M","M","106","EDL4EFL","FUL 1<br/>@BUR 1","6.05","6.05","46%","-9%","1","1","90","0","0.0","0","0","1","0","2","0","0","0","2","1","0","0"
"*06fxv*","Jean-Ricner Bellegarde","WOL","M","M","219","FA","@ARS Sat 8:00PM","5.82","5.82","13%","0%","1","1","66","0","0.0","0","0","1","0","2","1","0","0","2","0","0","0"
"*06mve*","Joshua Zirkzee","MUN","F","F","289","FA","BOU Mon 8:00PM","5.79","5.79","17%","-11%","1","1","77","0","0.0","0","0","2","1","1","0","0","0","1","0","0","0"
"*06mn7*","Lucas Bergvall","TOT","M","M","213","FA","@NOT Sun 2:00PM","5.77","5.77","16%","-2%","1","1","76","0","0.0","0","0","2","0","1","0","0","0","1","0","0","0"
"*070f9*","Yeremy Pino","CRY","M","M","178","ojag7","MCI Sun 2:00PM","5.76","5.76","50%","+2%","1","1","63","0","0.0","0","0","0","0","0","2","0","0","0","2","0","1"
"*06rm7*","Nico Gonzalez","MCI","M","M","139","CTM","@CRY Sun 2:00PM","5.76","5.76","31%","-3%","1","1","63","0","0.0","0","0","0","0","2","0","0","0","2","0","0","0"
"*06pic*","Andre","WOL","M","M","226","FA","@ARS Sat 8:00PM","5.7","5.7","3%","0%","1","1","90","0","0.0","0","0","0","0","2","1","0","0","2","0","0","0"
"*052h5*","Gabriel Martinelli","ARS","M","M","306","FA","WOL Sat 8:00PM","5.6","5.6","61%","+1%","1","1","60","0","0.0","0","0","1","0","1","2","0","0","1","0","0","1"
"*06y9m*","Maxim De Cuyper","BHA","D","D","181","CTM","BHA 0<br/>@LIV 2 F","5.6","5.6","49%","-7%","1","1","90","0","0.0","0","0","1","1","0","2","0","0","0","0","0","0"
