"ID","Player","Team","Position","Prim Pos","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","W","L","D","CS","GA","GAA","Sv","Sv%","STA","YC","RC","FC","FS","PKGA","G","A"
"*070gt*","John Victor Maciel Furtado","NOT","G","G","62","FA","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062cw*","Stefan Ortega","MCI","G","G","78","FA","@CRY Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v6m*","Max Weiss","BUR","G","G","98","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xze*","Walter Benitez","CRY","G","G","35","FA","MCI Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06mx2*","Carlos Miguel","NOT","G","G","103","FA","TOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0.0","0","0.0","0","0","0","0","0","0","0","0"
"*06v04*","Armin Pecsi","LIV","G","G","83","W <small>(Tue)</small>","BHA 0<br/>@LIV 2 F","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xtq*","Matthew Cox","BRF","G","G","40","FA","LEE Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04gyd*","Brandon Austin","TOT","G","G","31","FA","@NOT Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06v0e*","Blondy Nna Noukeu","SUN","G","G","75","FA","NEW Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06jfe*","Hakon Valdimarsson","BRF","G","G","96","FA","LEE Sun 4:30PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*02lo6*","Daniel Bentley","WOL","G","G","34","FA","@ARS Sat 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dwz*","Tom Heaton","MUN","G","G","52","FA","BOU Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06zbw*","Benjamin Lecomte","FUL","G","G","61","W <small>(Tue)</small>","FUL 1<br/>@BUR 1","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ubh*","Remi Matthews","CRY","G","G","65","FA","MCI Sun 2:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
